period,work_order,person,hours,charge_rate,description
202130,9200-2-2,Tim Moreno,31.8,80,research into teleportation
202036,9100-1-1,Vincent Hunt,11.7,80,system upgrade implementation
202152,9400-4-4,Jennifer Sanchez,4.9,70,research into teleportation
202182,9200-2-2,Vincent Hunt,6.5,90,system upgrade implementation
202046,9500-5-5,Samuel Cook,1.2,80,software development
202132,9200-2-2,Deanna Russell,31.6,90,software development
202049,9400-4-4,Teresa Solis,5.3,90,system upgrade implementation
202083,9500-5-5,Samuel Cook,2.5,100,software development
202129,9400-4-4,Michael White,38.3,80,system upgrade implementation
202024,9300-3-3,Karen Gallegos,25.1,90,updating department budget
202166,9300-3-3,Karen Gallegos,13.1,100,cybersecurity audit
202130,9200-2-2,Karen Gallegos,3.5,100,training new hires
202058,9200-2-2,Kimberly Russell,17.8,70,software development
202111,9200-2-2,William Hernandez,17.1,60,data migration project
202121,9200-2-2,Jennifer Hoffman,16.0,50,equipment maintenance
202072,9200-2-2,Johnathan Pena,36.4,100,training new hires
202133,9300-3-3,Dennis Hamilton,13.4,70,cybersecurity audit
202159,9500-5-5,Christopher Gregory,8.4,70,research into teleportation
202085,9100-1-1,Samuel Cook,9.6,50,equipment maintenance
202174,9500-5-5,Mike Shannon,33.8,60,updating department budget
202081,9400-4-4,John Allison,3.8,80,training new hires
202100,9500-5-5,Carolyn Fleming,5.3,90,equipment maintenance
202203,9400-4-4,Mia Davis,38.4,70,cybersecurity audit
202151,9200-2-2,Vincent Hunt,26.1,50,AI integration study
202087,9400-4-4,Angel Parsons,22.8,70,performance review analysis
202120,9300-3-3,Carolyn Fleming,4.0,100,AI integration study
202096,9300-3-3,Brian Wiggins,26.9,80,AI integration study
202198,9400-4-4,David Robinson,20.4,90,performance review analysis
202149,9400-4-4,Christopher Powers,5.7,70,training new hires
202044,9200-2-2,Angel Parsons,30.9,60,system upgrade implementation
202097,9300-3-3,Jennifer Hoffman,32.1,100,cybersecurity audit
202038,9400-4-4,Samuel Cook,16.1,50,performance review analysis
202043,9500-5-5,Kimberly Russell,19.2,80,software development
202058,9400-4-4,Carolyn Fleming,13.4,70,research into teleportation
202115,9400-4-4,Mia Davis,6.7,100,software development
202198,9500-5-5,Teresa Solis,12.0,90,software development
202080,9100-1-1,John Allison,31.3,70,updating department budget
202135,9300-3-3,Mike Shannon,4.5,60,system upgrade implementation
202162,9400-4-4,William Hernandez,12.4,50,training new hires
202209,9400-4-4,Kyle Smith,36.8,100,cybersecurity audit
202181,9200-2-2,Darlene Fischer,5.2,90,equipment maintenance
202204,9300-3-3,Mike Shannon,27.7,100,AI integration study
202184,9400-4-4,Dennis Hamilton,12.1,70,research into teleportation
202034,9100-1-1,John Adams,16.7,70,equipment maintenance
202069,9200-2-2,Jessica Garner,16.8,60,software development
202163,9200-2-2,Karen Gallegos,21.5,60,cybersecurity audit
202190,9300-3-3,Tim Moreno,35.1,80,performance review analysis
202010,9200-2-2,Kimberly Russell,7.2,90,system upgrade implementation
202144,9200-2-2,Jennifer Sanchez,14.4,50,software development
202211,9400-4-4,Jennifer Hoffman,24.1,50,research into teleportation
202062,9500-5-5,Jennifer Sanchez,36.5,60,updating department budget
202069,9500-5-5,Dennis Hamilton,30.7,100,software development
202005,9200-2-2,Tim Moreno,28.2,100,updating department budget
202068,9500-5-5,Jennifer Sanchez,14.6,50,training new hires
202033,9300-3-3,Darlene Fischer,31.5,100,training new hires
202015,9100-1-1,William Hernandez,35.4,60,data migration project
202020,9200-2-2,Deanna Russell,25.1,50,updating department budget
202118,9400-4-4,Dennis Hamilton,23.0,70,data migration project
202047,9500-5-5,Vincent Hunt,35.5,100,software development
202195,9400-4-4,Travis Lewis,25.3,50,performance review analysis
202060,9200-2-2,Samuel Cook,37.1,100,system upgrade implementation
202099,9100-1-1,Kimberly Russell,27.6,60,AI integration study
202129,9200-2-2,Abigail Contreras,12.2,70,equipment maintenance
202158,9500-5-5,John Allison,17.1,80,performance review analysis
202133,9100-1-1,Mia Davis,21.5,100,AI integration study
202166,9200-2-2,Jennifer Sanchez,36.6,100,performance review analysis
202065,9100-1-1,William Hernandez,30.6,90,system upgrade implementation
202209,9200-2-2,Teresa Solis,32.4,70,training new hires
202088,9100-1-1,Abigail Contreras,27.3,70,AI integration study
202032,9500-5-5,Michael White,14.5,90,updating department budget
202150,9200-2-2,Angel Parsons,34.1,50,cybersecurity audit
202207,9300-3-3,Mike Shannon,26.4,60,system upgrade implementation
202052,9400-4-4,John Adams,37.6,60,updating department budget
202120,9400-4-4,John Adams,11.8,60,updating department budget
202067,9100-1-1,Michael White,2.9,80,research into teleportation
202081,9100-1-1,David Robinson,32.0,70,research into teleportation
202019,9100-1-1,Kimberly Russell,1.6,100,equipment maintenance
202140,9200-2-2,Samuel Cook,25.4,50,training new hires
202011,9400-4-4,Johnathan Pena,26.3,70,training new hires
202113,9200-2-2,Jennifer Sanchez,38.1,90,equipment maintenance
202024,9400-4-4,Sarah Wilson,19.7,70,performance review analysis
202063,9100-1-1,Christopher Gregory,9.3,50,software development
202153,9500-5-5,Karen Gallegos,33.9,60,equipment maintenance
202017,9200-2-2,Mia Davis,25.1,90,cybersecurity audit
202038,9300-3-3,Jennifer Sanchez,36.7,80,data migration project
202164,9300-3-3,Sarah Wilson,32.1,70,equipment maintenance
202158,9500-5-5,Carolyn Fleming,13.5,90,research into teleportation
202127,9400-4-4,Travis Lewis,20.3,50,software development
202175,9300-3-3,Teresa Solis,3.3,90,cybersecurity audit
202110,9200-2-2,John Allison,1.4,100,research into teleportation
202152,9200-2-2,William Hernandez,10.8,80,equipment maintenance
202077,9200-2-2,Mike Shannon,12.4,80,research into teleportation
202019,9300-3-3,Samuel Cook,5.5,70,updating department budget
202212,9400-4-4,Dennis Hamilton,3.2,90,AI integration study
202196,9200-2-2,Kyle Smith,31.6,50,AI integration study
202092,9100-1-1,Jennifer Sanchez,10.1,90,software development
202142,9300-3-3,John Adams,1.3,90,equipment maintenance
202071,9100-1-1,Christopher Powers,25.8,80,equipment maintenance
202206,9200-2-2,Christopher Powers,1.9,60,research into teleportation
202080,9400-4-4,Mia Davis,9.3,50,research into teleportation
202163,9200-2-2,Kimberly Russell,35.1,50,AI integration study
202163,9400-4-4,Christina Scott,34.7,80,equipment maintenance
202169,9200-2-2,Vincent Hunt,27.3,90,equipment maintenance
202128,9100-1-1,Mike Shannon,10.7,60,performance review analysis
202191,9200-2-2,Vincent Hunt,30.8,60,AI integration study
202010,9200-2-2,Kyle Smith,3.4,100,system upgrade implementation
202082,9300-3-3,Mike Shannon,31.5,90,AI integration study
202006,9100-1-1,John Adams,4.8,60,AI integration study
202133,9300-3-3,Teresa Solis,39.9,60,performance review analysis
202196,9300-3-3,Brian Wiggins,5.4,60,software development
202026,9500-5-5,Sarah Wilson,16.2,50,research into teleportation
202129,9500-5-5,Vincent Hunt,28.9,50,training new hires
202067,9500-5-5,John Allison,5.5,60,data migration project
202092,9400-4-4,Carolyn Fleming,24.7,100,data migration project
202095,9500-5-5,Samuel Cook,19.6,70,training new hires
202137,9400-4-4,Mike Shannon,33.8,70,cybersecurity audit
202107,9400-4-4,Brian Wiggins,19.6,50,performance review analysis
202196,9300-3-3,Jessica Garner,24.6,80,cybersecurity audit
202121,9200-2-2,Angel Parsons,4.4,80,equipment maintenance
202103,9300-3-3,Kimberly Russell,32.5,80,updating department budget
202029,9400-4-4,Christina Scott,26.0,80,equipment maintenance
202166,9100-1-1,Sarah Wilson,5.9,50,training new hires
202073,9400-4-4,Vincent Hunt,1.8,60,cybersecurity audit
202155,9400-4-4,John Adams,38.5,90,software development
202174,9500-5-5,Darlene Fischer,4.9,70,data migration project
202112,9500-5-5,Teresa Solis,7.3,60,AI integration study
202085,9100-1-1,Jessica Garner,27.0,100,cybersecurity audit
202090,9400-4-4,Jessica Garner,37.9,50,data migration project
202027,9200-2-2,Christopher Powers,30.8,100,system upgrade implementation
202013,9400-4-4,Abigail Contreras,2.0,60,research into teleportation
202163,9300-3-3,Mike Shannon,4.7,60,AI integration study
202028,9500-5-5,Johnathan Pena,32.4,100,cybersecurity audit
202129,9300-3-3,David Robinson,37.6,50,research into teleportation
202040,9100-1-1,Mia Davis,36.0,80,AI integration study
202198,9300-3-3,Jennifer Hoffman,14.1,70,data migration project
202051,9200-2-2,Jessica Garner,5.8,60,training new hires
202062,9100-1-1,Teresa Solis,21.8,60,system upgrade implementation
202207,9100-1-1,Jessica Garner,28.2,50,research into teleportation
202144,9100-1-1,Christopher Powers,16.9,80,software development
202092,9400-4-4,Samuel Cook,18.7,90,AI integration study
202168,9500-5-5,Christopher Powers,10.9,90,equipment maintenance
202010,9300-3-3,Christina Scott,9.5,60,cybersecurity audit
202081,9500-5-5,Darlene Fischer,37.0,100,cybersecurity audit
202094,9100-1-1,Vincent Hunt,8.7,100,AI integration study
202150,9500-5-5,Carolyn Fleming,24.6,90,equipment maintenance
202097,9200-2-2,Sarah Wilson,34.6,80,data migration project
202040,9300-3-3,Samuel Cook,40.0,50,AI integration study
202042,9300-3-3,Kimberly Russell,27.4,50,training new hires
202111,9200-2-2,Jennifer Hoffman,8.3,70,updating department budget
202090,9500-5-5,Jessica Garner,36.2,60,equipment maintenance
202191,9500-5-5,Christopher Powers,26.5,90,software development
202146,9300-3-3,Michael White,5.3,100,AI integration study
202147,9200-2-2,Jessica Garner,19.8,80,training new hires
202109,9100-1-1,John Allison,3.8,80,system upgrade implementation
202118,9300-3-3,Christopher Powers,36.2,80,performance review analysis
202125,9400-4-4,Jennifer Hoffman,32.0,50,updating department budget
202050,9400-4-4,Michael White,20.3,50,system upgrade implementation
202035,9500-5-5,Vincent Hunt,28.1,90,AI integration study
202212,9400-4-4,Johnathan Pena,30.6,90,data migration project
202150,9200-2-2,Abigail Contreras,26.6,60,performance review analysis
202163,9400-4-4,John Adams,32.1,90,equipment maintenance
202133,9100-1-1,Abigail Contreras,21.4,60,equipment maintenance
202113,9300-3-3,John Adams,32.0,60,updating department budget
202067,9500-5-5,Sarah Wilson,37.3,80,performance review analysis
202056,9200-2-2,Christopher Gregory,27.6,50,training new hires
202207,9100-1-1,Brian Wiggins,25.2,70,updating department budget
202174,9300-3-3,Sarah Wilson,37.7,70,updating department budget
202012,9100-1-1,Christopher Powers,39.2,60,software development
202002,9200-2-2,Vincent Hunt,11.8,70,cybersecurity audit
202024,9200-2-2,William Hernandez,10.9,60,research into teleportation
202116,9500-5-5,Vincent Hunt,37.2,80,updating department budget
202004,9100-1-1,Sarah Wilson,33.8,80,system upgrade implementation
202103,9400-4-4,Deanna Russell,8.2,100,system upgrade implementation
202036,9400-4-4,Dennis Hamilton,30.9,70,equipment maintenance
202034,9100-1-1,Brian Wiggins,29.8,50,training new hires
202117,9200-2-2,Tim Moreno,12.5,80,research into teleportation
202167,9100-1-1,Sarah Wilson,28.7,50,updating department budget
202024,9500-5-5,Vincent Hunt,25.1,90,equipment maintenance
202092,9300-3-3,John Allison,4.2,60,updating department budget
202194,9100-1-1,Tim Moreno,37.5,50,performance review analysis
202103,9300-3-3,Travis Lewis,36.5,60,equipment maintenance
202141,9400-4-4,Kimberly Russell,39.0,100,research into teleportation
202185,9200-2-2,Dennis Hamilton,14.6,100,performance review analysis
202008,9200-2-2,Samuel Cook,30.9,70,updating department budget
202109,9100-1-1,William Hernandez,8.3,100,AI integration study
202100,9200-2-2,John Allison,29.8,50,updating department budget
202193,9300-3-3,Angel Parsons,23.3,90,data migration project
202150,9200-2-2,Kimberly Russell,22.8,70,research into teleportation
202153,9300-3-3,Karen Gallegos,26.0,50,data migration project
202088,9500-5-5,Sarah Wilson,27.2,100,system upgrade implementation
202097,9100-1-1,Abigail Contreras,34.3,70,system upgrade implementation
202191,9100-1-1,John Allison,34.1,80,equipment maintenance
202054,9500-5-5,Christopher Powers,32.8,60,training new hires
202183,9200-2-2,Jennifer Hoffman,32.5,60,performance review analysis
202030,9500-5-5,Jennifer Hoffman,33.2,70,AI integration study
202138,9100-1-1,Johnathan Pena,25.2,60,research into teleportation
202038,9300-3-3,Vincent Hunt,6.5,90,performance review analysis
202176,9400-4-4,Kimberly Russell,11.2,90,data migration project
202058,9300-3-3,Abigail Contreras,1.7,50,data migration project
202087,9300-3-3,Dennis Hamilton,29.8,100,system upgrade implementation
202033,9100-1-1,Tim Moreno,32.3,90,system upgrade implementation
202186,9300-3-3,Abigail Contreras,12.2,70,AI integration study
202057,9300-3-3,Karen Gallegos,26.6,50,software development
202086,9400-4-4,Kyle Smith,20.5,80,data migration project
202067,9100-1-1,Christopher Powers,40.0,50,research into teleportation
202160,9500-5-5,Kimberly Russell,26.7,90,updating department budget
202027,9500-5-5,Dennis Hamilton,4.7,70,training new hires
202107,9500-5-5,Abigail Contreras,30.6,90,system upgrade implementation
202147,9200-2-2,Mike Shannon,33.2,70,AI integration study
202040,9200-2-2,Christina Scott,27.4,100,cybersecurity audit
202087,9300-3-3,Sarah Wilson,35.7,80,AI integration study
202164,9500-5-5,Johnathan Pena,4.7,100,research into teleportation
202176,9100-1-1,John Adams,21.0,90,system upgrade implementation
202197,9300-3-3,John Allison,31.9,100,training new hires
202084,9200-2-2,Christopher Gregory,13.0,60,equipment maintenance
202208,9500-5-5,Johnathan Pena,6.1,70,data migration project
202024,9100-1-1,Sarah Wilson,8.1,90,training new hires
202136,9300-3-3,John Allison,12.3,80,software development
202133,9500-5-5,Teresa Solis,25.8,60,software development
202064,9100-1-1,Sarah Wilson,9.3,60,research into teleportation
202064,9400-4-4,Johnathan Pena,28.6,50,data migration project
202018,9300-3-3,Michael White,13.8,70,AI integration study
202096,9200-2-2,Michael White,13.9,100,system upgrade implementation
202179,9400-4-4,Vincent Hunt,16.0,70,equipment maintenance
202009,9100-1-1,Johnathan Pena,24.2,70,research into teleportation
202071,9400-4-4,Jessica Garner,6.7,90,performance review analysis
202001,9400-4-4,Teresa Solis,29.0,50,equipment maintenance
202164,9500-5-5,Angel Parsons,24.2,70,research into teleportation
202101,9300-3-3,Christopher Gregory,7.5,60,equipment maintenance
202019,9100-1-1,Darlene Fischer,24.1,60,equipment maintenance
202003,9100-1-1,Jennifer Sanchez,8.1,70,equipment maintenance
202128,9300-3-3,John Adams,17.2,60,updating department budget
202071,9300-3-3,Christina Scott,29.1,70,software development
202058,9200-2-2,John Adams,37.7,50,performance review analysis
202085,9200-2-2,Mike Shannon,20.8,70,equipment maintenance
202150,9500-5-5,David Robinson,13.7,70,software development
202027,9100-1-1,Sarah Wilson,11.6,50,updating department budget
202168,9200-2-2,Carolyn Fleming,16.7,80,performance review analysis
202127,9400-4-4,John Adams,37.9,100,software development
202167,9300-3-3,Mike Shannon,38.2,50,software development
202150,9500-5-5,Michael White,31.2,80,equipment maintenance
202076,9300-3-3,Mia Davis,39.3,80,system upgrade implementation
202097,9300-3-3,John Adams,19.0,80,cybersecurity audit
202098,9200-2-2,Jennifer Sanchez,19.7,80,data migration project
202044,9100-1-1,Johnathan Pena,2.5,100,software development
202072,9200-2-2,John Adams,9.6,100,training new hires
202160,9100-1-1,Sarah Wilson,13.9,50,data migration project
202158,9400-4-4,Darlene Fischer,33.2,80,system upgrade implementation
202050,9400-4-4,Kyle Smith,9.3,70,cybersecurity audit
202125,9100-1-1,John Adams,29.2,100,research into teleportation
202118,9500-5-5,Kyle Smith,4.3,90,performance review analysis
202060,9300-3-3,Christina Scott,11.9,70,AI integration study
202054,9300-3-3,Mia Davis,22.3,50,system upgrade implementation
202209,9200-2-2,John Allison,28.0,50,system upgrade implementation
202005,9100-1-1,Brian Wiggins,8.5,60,data migration project
202212,9300-3-3,Christopher Gregory,15.8,60,AI integration study
202042,9300-3-3,Johnathan Pena,33.8,50,updating department budget
202150,9500-5-5,Christopher Powers,27.0,70,AI integration study
202129,9500-5-5,Jennifer Sanchez,32.3,70,equipment maintenance
202183,9100-1-1,Carolyn Fleming,5.4,100,equipment maintenance
202150,9500-5-5,Travis Lewis,36.4,60,data migration project
202189,9300-3-3,Dennis Hamilton,1.5,80,cybersecurity audit
202132,9500-5-5,Mia Davis,29.0,80,updating department budget
202114,9500-5-5,Karen Gallegos,26.2,80,software development
202133,9400-4-4,Sarah Wilson,27.3,100,system upgrade implementation
202150,9500-5-5,Sarah Wilson,38.7,90,performance review analysis
202207,9100-1-1,Christopher Gregory,11.9,50,AI integration study
202168,9300-3-3,Abigail Contreras,39.7,90,research into teleportation
202206,9500-5-5,Tim Moreno,3.5,70,data migration project
202001,9100-1-1,Kimberly Russell,20.2,60,research into teleportation
202118,9100-1-1,Brian Wiggins,22.0,100,system upgrade implementation
202125,9100-1-1,Johnathan Pena,15.4,90,software development
202144,9100-1-1,Darlene Fischer,4.2,100,equipment maintenance
202063,9300-3-3,Dennis Hamilton,7.0,80,software development
202059,9200-2-2,Carolyn Fleming,36.4,80,software development
202209,9400-4-4,Karen Gallegos,26.0,80,updating department budget
202180,9300-3-3,Carolyn Fleming,32.6,90,updating department budget
202124,9100-1-1,Carolyn Fleming,33.9,90,system upgrade implementation
202195,9200-2-2,Michael White,23.3,50,AI integration study
202089,9100-1-1,Mia Davis,12.9,100,AI integration study
202073,9300-3-3,Mike Shannon,16.2,50,equipment maintenance
202083,9500-5-5,Deanna Russell,10.5,50,updating department budget
202111,9400-4-4,Jennifer Sanchez,22.7,70,system upgrade implementation
202165,9500-5-5,David Robinson,31.5,60,system upgrade implementation
202189,9200-2-2,Deanna Russell,31.8,80,cybersecurity audit
202007,9400-4-4,Kyle Smith,32.1,100,research into teleportation
202022,9100-1-1,Angel Parsons,21.7,100,AI integration study
202002,9100-1-1,William Hernandez,19.5,100,AI integration study
202029,9300-3-3,John Adams,39.3,100,AI integration study
202137,9300-3-3,Kimberly Russell,16.3,60,training new hires
202178,9400-4-4,John Adams,15.5,50,system upgrade implementation
202206,9500-5-5,Michael White,8.2,80,research into teleportation
202015,9100-1-1,Carolyn Fleming,4.2,50,system upgrade implementation
202139,9200-2-2,John Allison,26.7,80,system upgrade implementation
202132,9400-4-4,Christina Scott,24.4,80,cybersecurity audit
202153,9500-5-5,Christopher Powers,35.2,80,AI integration study
202044,9300-3-3,David Robinson,24.5,60,AI integration study
202098,9500-5-5,Michael White,5.7,100,cybersecurity audit
202156,9500-5-5,Jessica Garner,18.9,90,performance review analysis
202075,9300-3-3,Travis Lewis,25.5,60,training new hires
202211,9200-2-2,Christina Scott,1.2,70,performance review analysis
202034,9100-1-1,Jessica Garner,26.7,100,equipment maintenance
202195,9300-3-3,Carolyn Fleming,13.5,100,equipment maintenance
202111,9100-1-1,Travis Lewis,26.6,90,cybersecurity audit
202120,9300-3-3,Samuel Cook,30.5,90,performance review analysis
202009,9200-2-2,Angel Parsons,1.1,60,AI integration study
202003,9500-5-5,John Allison,35.2,100,cybersecurity audit
202114,9300-3-3,Mia Davis,2.9,90,system upgrade implementation
202194,9400-4-4,Kimberly Russell,15.5,50,training new hires
202134,9100-1-1,Jennifer Sanchez,24.1,80,research into teleportation
202107,9200-2-2,Darlene Fischer,38.9,80,cybersecurity audit
202171,9300-3-3,Christopher Gregory,19.8,90,training new hires
202089,9400-4-4,Vincent Hunt,25.2,90,data migration project
202197,9200-2-2,Mia Davis,16.3,80,cybersecurity audit
202142,9500-5-5,Christopher Powers,5.8,60,data migration project
202160,9500-5-5,Christopher Powers,8.8,100,updating department budget
202034,9500-5-5,Abigail Contreras,17.1,80,data migration project
202098,9100-1-1,Kyle Smith,34.4,70,software development
202181,9300-3-3,Deanna Russell,15.4,80,training new hires
202193,9200-2-2,Mike Shannon,16.9,70,AI integration study
202035,9300-3-3,Dennis Hamilton,37.5,60,system upgrade implementation
202157,9400-4-4,Vincent Hunt,32.8,100,software development
202151,9400-4-4,Christina Scott,8.8,80,training new hires
202162,9300-3-3,Karen Gallegos,16.7,90,equipment maintenance
202008,9200-2-2,Tim Moreno,13.2,100,data migration project
202081,9100-1-1,Carolyn Fleming,16.1,70,system upgrade implementation
202120,9300-3-3,John Allison,5.7,70,performance review analysis
202150,9500-5-5,Mike Shannon,29.9,60,AI integration study
202179,9200-2-2,Deanna Russell,9.1,80,system upgrade implementation
202158,9500-5-5,John Adams,16.1,70,training new hires
202152,9100-1-1,Teresa Solis,29.1,60,performance review analysis
202070,9300-3-3,Angel Parsons,9.6,90,equipment maintenance
202002,9400-4-4,John Adams,27.9,80,updating department budget
202051,9200-2-2,Sarah Wilson,10.1,70,equipment maintenance
202020,9200-2-2,Abigail Contreras,13.2,90,updating department budget
202138,9400-4-4,Samuel Cook,17.4,80,cybersecurity audit
202055,9400-4-4,Kyle Smith,22.1,60,data migration project
202136,9300-3-3,Johnathan Pena,37.7,50,equipment maintenance
202005,9500-5-5,Mia Davis,35.2,60,equipment maintenance
202072,9300-3-3,John Allison,30.2,80,cybersecurity audit
202211,9500-5-5,William Hernandez,25.8,50,equipment maintenance
202116,9400-4-4,John Adams,37.4,90,performance review analysis
202057,9200-2-2,Samuel Cook,12.6,100,performance review analysis
202062,9500-5-5,Jennifer Sanchez,23.3,70,equipment maintenance
202132,9300-3-3,Karen Gallegos,13.9,50,AI integration study
202075,9300-3-3,Karen Gallegos,8.8,70,software development
202187,9100-1-1,Michael White,13.7,80,updating department budget
202188,9400-4-4,John Allison,19.6,100,system upgrade implementation
202163,9500-5-5,Angel Parsons,15.2,50,data migration project
202126,9400-4-4,David Robinson,18.7,50,cybersecurity audit
202136,9200-2-2,William Hernandez,33.6,80,AI integration study
202187,9100-1-1,Mia Davis,33.9,80,equipment maintenance
202025,9500-5-5,Jennifer Sanchez,4.0,100,system upgrade implementation
202076,9400-4-4,John Adams,12.7,80,training new hires
202042,9500-5-5,Sarah Wilson,16.0,90,research into teleportation
202006,9400-4-4,John Adams,36.1,80,data migration project
202042,9500-5-5,Johnathan Pena,24.6,100,system upgrade implementation
202145,9300-3-3,Carolyn Fleming,26.5,60,updating department budget
202177,9100-1-1,Deanna Russell,14.7,60,equipment maintenance
202109,9500-5-5,Michael White,22.6,60,AI integration study
202013,9500-5-5,Dennis Hamilton,10.9,50,updating department budget
202061,9500-5-5,Deanna Russell,17.1,90,data migration project
202175,9500-5-5,Kimberly Russell,4.3,70,equipment maintenance
202055,9100-1-1,Sarah Wilson,30.6,100,cybersecurity audit
202171,9200-2-2,Samuel Cook,38.4,70,software development
202148,9100-1-1,Darlene Fischer,30.8,60,training new hires
202045,9400-4-4,Sarah Wilson,17.3,90,data migration project
202001,9100-1-1,John Adams,13.7,100,system upgrade implementation
202125,9200-2-2,Christina Scott,24.5,60,research into teleportation
202167,9400-4-4,Darlene Fischer,18.1,80,AI integration study
202067,9300-3-3,Teresa Solis,17.0,50,performance review analysis
202191,9400-4-4,Karen Gallegos,35.3,80,AI integration study
202150,9300-3-3,Kyle Smith,11.5,60,training new hires
202132,9200-2-2,Sarah Wilson,7.1,60,AI integration study
202183,9500-5-5,Angel Parsons,32.2,100,updating department budget
202072,9200-2-2,Sarah Wilson,37.9,90,research into teleportation
202152,9300-3-3,Jennifer Hoffman,16.2,90,equipment maintenance
202111,9300-3-3,Darlene Fischer,34.6,70,system upgrade implementation
202178,9300-3-3,Christina Scott,3.3,50,updating department budget
202086,9500-5-5,Darlene Fischer,28.9,60,software development
202207,9400-4-4,Jennifer Sanchez,14.6,70,AI integration study
202204,9100-1-1,Mia Davis,35.4,70,system upgrade implementation
202212,9200-2-2,Johnathan Pena,34.8,80,equipment maintenance
202130,9500-5-5,John Adams,13.2,60,system upgrade implementation
202195,9300-3-3,Teresa Solis,28.8,60,performance review analysis
202142,9400-4-4,Michael White,3.7,60,research into teleportation
202120,9500-5-5,Vincent Hunt,32.6,90,training new hires
202189,9400-4-4,Brian Wiggins,1.7,100,cybersecurity audit
202135,9500-5-5,Darlene Fischer,6.4,60,system upgrade implementation
202160,9100-1-1,Jennifer Hoffman,10.3,100,data migration project
202011,9400-4-4,Kimberly Russell,3.8,70,AI integration study
202155,9300-3-3,Teresa Solis,24.7,70,training new hires
202148,9400-4-4,Mike Shannon,11.7,50,cybersecurity audit
202045,9200-2-2,Angel Parsons,15.6,50,research into teleportation
202186,9100-1-1,Kimberly Russell,7.9,90,system upgrade implementation
202020,9300-3-3,Christina Scott,6.8,50,training new hires
202026,9500-5-5,Mike Shannon,19.0,100,software development
202203,9100-1-1,Mia Davis,20.5,60,system upgrade implementation
202067,9200-2-2,Mia Davis,11.4,60,performance review analysis
202199,9200-2-2,Jennifer Hoffman,2.0,60,cybersecurity audit
202089,9500-5-5,Christopher Powers,1.3,50,system upgrade implementation
202013,9400-4-4,Tim Moreno,23.7,80,data migration project
